complex_id,receptor_pdb_id,peptide_chain,peptide_len,is_cyclic,has_ncaa,deposition_date,release_date
peppcbench__8c5l_C,8c5l,C,18,False,False,2023-01-09,2024-01-10
peppcbench__8cd3_A,8cd3,A,8,False,False,2023-01-30,2024-01-31
peppcbench__8cm9_E,8cm9,E,7,False,False,2023-02-18,2023-10-04
peppcbench__8cmd_C,8cmd,C,15,False,False,2023-02-19,2023-07-26
peppcbench__8cme_C,8cme,C,15,False,False,2023-02-19,2023-07-26
peppcbench__8cmg_C,8cmg,C,15,False,False,2023-02-19,2023-07-26
peppcbench__8cmi_C,8cmi,C,15,False,False,2023-02-19,2023-07-26
peppcbench__8fu4_C,8fu4,C,9,False,False,2023-01-16,2024-03-27
peppcbench__8fud_C,8fud,C,7,False,False,2023-01-17,2024-07-24
peppcbench__8fym_C,8fym,C,19,False,False,2023-01-26,2023-10-11
peppcbench__8fyu_C,8fyu,C,10,False,False,2023-01-26,2023-08-30
peppcbench__8g8a_C,8g8a,C,14,False,False,2023-02-17,2024-05-22
peppcbench__8g8c_C,8g8c,C,16,False,False,2023-02-17,2024-05-22
peppcbench__8g8q_B,8g8q,B,8,False,False,2023-02-19,2024-02-21
peppcbench__8g8q_C,8g8q,C,5,False,False,2023-02-19,2024-02-21
peppcbench__8gck_C,8gck,C,6,False,False,2023-03-02,2024-03-06
peppcbench__8gjf_D,8gjf,D,13,False,False,2023-03-15,2024-01-24
peppcbench__8gjg_B,8gjg,B,25,False,False,2023-03-15,2024-01-10
peppcbench__8gji_B,8gji,B,22,False,False,2023-03-15,2024-01-10
peppcbench__8ib1_C,8ib1,C,13,False,False,2023-02-09,2023-07-26
peppcbench__8igc_B,8igc,B,23,False,False,2023-02-20,2023-09-20
peppcbench__8in0_B,8in0,B,9,False,False,2023-03-08,2024-03-13
peppcbench__8isn_C,8isn,C,9,False,False,2023-03-21,2023-09-13
peppcbench__8iya_D,8iya,D,6,False,False,2023-04-04,2024-01-03
peppcbench__8j4g_C,8j4g,C,9,False,False,2023-04-19,2024-04-24
peppcbench__8j5u_B,8j5u,B,9,False,False,2023-04-24,2024-04-03
peppcbench__8jbg_A,8jbg,A,8,False,False,2023-05-08,2024-02-07
peppcbench__8jbh_A,8jbh,A,7,False,False,2023-05-08,2024-02-07
peppcbench__8jgb_L,8jgb,L,5,False,False,2023-05-20,2024-01-10
peppcbench__8jgf_L,8jgf,L,12,False,False,2023-05-20,2024-01-10
peppcbench__8jgg_L,8jgg,L,11,False,False,2023-05-20,2024-01-10
peppcbench__8jis_P,8jis,P,29,False,False,2023-05-27,2023-11-08
peppcbench__8jj9_C,8jj9,C,21,False,False,2023-05-29,2024-04-24
peppcbench__8jjv_B,8jjv,B,11,False,False,2023-05-31,2024-01-10
peppcbench__8ofg_C,8ofg,C,8,False,False,2023-03-15,2023-06-21
peppcbench__8og0_P,8og0,P,5,False,False,2023-03-17,2024-03-27
peppcbench__8oio_F,8oio,F,5,False,False,2023-03-23,2024-04-03
peppcbench__8okf_B,8okf,B,9,False,False,2023-03-28,2024-04-10
peppcbench__8os1_C,8os1,C,5,False,False,2023-04-17,2024-10-02
peppcbench__8p0q_C,8p0q,C,6,False,False,2023-05-10,2023-09-06
peppcbench__8p43_P,8p43,P,9,False,False,2023-05-19,2024-06-12
peppcbench__8p6i_A,8p6i,A,9,False,False,2023-05-26,2024-04-03
peppcbench__8sao_A,8sao,A,14,False,False,2023-04-01,2023-11-01
peppcbench__8sbk_C,8sbk,C,9,False,False,2023-04-03,2023-12-06
peppcbench__8sbl_C,8sbl,C,9,False,False,2023-04-03,2023-12-06
peppcbench__8sf8_B,8sf8,B,20,False,False,2023-04-10,2024-02-21
peppcbench__8sgf_Z,8sgf,Z,7,False,False,2023-04-12,2024-01-03
peppcbench__8skj_E,8skj,E,14,False,False,2023-04-19,2023-11-22
peppcbench__8sm5_B,8sm5,B,18,False,False,2023-04-25,2023-10-11
peppcbench__8smo_B,8smo,B,20,False,False,2023-04-26,2024-05-01
peppcbench__8sr6_B,8sr6,B,15,False,False,2023-05-05,2024-03-13
peppcbench__8sud_B,8sud,B,9,False,False,2023-05-12,2024-02-07
peppcbench__8suv_I,8suv,I,9,False,False,2023-05-13,2024-03-20
peppcbench__8sz2_P,8sz2,P,6,False,False,2023-05-26,2024-05-29
